geoid,MEAN
17031291600,89.75933504
17031580200,90.3184403
17031590500,90.30112397
17031590700,89.7525896
17031610400,90.0051348
17031843800,90.07045076
17031400400,86.41697869
17031410500,85.08939796
17031421200,91.34000191
17031834400,87.16215821
17031612100,89.07551817
17031611000,88.10709524
17031030104,82.6562023
17031010501,83.6861895
17031020100,83.78965152
17031640100,91.40063134
17031560700,91.72931367
17031170900,90.35124314
17031180100,90.37338446
17031252000,89.40128961
17031252201,91.29523265
17031381700,88.57172826
17031380700,88.78123638
17031330200,89.49209965
17031340500,88.66398755
17031390300,87.5711309
17031390400,85.90202808
17031410100,86.50731453
17031240200,89.23868756
17031832600,88.34609749
17031241200,88.58761145
17031070600,88.98416947
17031160502,88.65547616
17031200401,89.3746759
17031220701,89.24726355
17031730600,95.77887839
17031260700,89.02719046
17031291200,90.00844317
17031841600,91.10288629
17031841500,88.54183459
17031030703,87.51227232
17031030800,86.9320142
17031030701,86.44458682
17031030702,84.83580512
17031190100,88.75165273
17031200100,89.08118037
17031040600,87.47075489
17031830800,88.37466048
17031160700,89.70060203
17031062400,89.46118786
17031760802,87.75367577
17031490901,91.94060148
17031260400,88.97360405
17031282800,89.53738342
17031020701,86.81365618
17031061200,88.44388826
17031310500,88.8697825
17031560200,89.61808298
17031100400,91.69398696
17031980000,88.94574952
17031671900,94.0515674
17031710100,91.50454327
17031691300,92.29302574
17031071600,86.87814358
17031460400,90.25897477
17031460500,91.50614733
17031480300,91.71925478
17031081900,88.90767246
17031431302,88.31342011
17031241100,88.57379862
17031243300,88.16482206
17031490400,92.69090464
17031500300,91.59134042
17031242700,88.37244891
17031839800,88.33319359
17031842600,89.31955433
17031300700,91.35958659
17031840700,90.6607535
17031841700,91.22660641
17031843100,87.43565663
17031840800,89.58257815
17031300800,91.15069863
17031300900,90.62901611
17031301600,90.39242268
17031590600,90.92452093
17031301100,90.53071126
17031301200,90.38578681
17031570100,89.56597589
17031580300,90.20483772
17031830500,89.44297387
17031841300,89.40280201
17031843500,88.988721
17031840400,89.96686312
17031580700,90.42765351
17031580100,90.52383365
17031610300,89.25678177
17031580502,90.62645986
17031839700,89.92725584
17031840300,90.820352
17031611500,91.17470805
17031580400,90.85723916
17031580600,91.21605191
17031580800,90.56892124
17031580501,90.33083722
17031834600,92.13815259
17031630100,91.95989925
17031611700,92.3679883
17031611200,91.63815915
17031611400,91.3541839
17031611800,91.84457049
17031611300,91.29254614
17031670300,93.12954034
17031611900,91.28776436
17031611600,92.05522417
17031670100,93.42620383
17031670400,93.12890324
17031670200,92.49324855
17031670500,92.43118444
17031680500,93.23388405
17031834700,92.87022825
17031835100,91.81005943
17031630400,90.80399892
17031630800,92.26599487
17031660302,91.5418642
17031660400,91.79677161
17031835000,91.68805682
17031660900,91.14317753
17031660700,92.00402247
17031660301,91.82146404
17031660600,92.82272753
17031671100,93.20889073
17031660800,93.47556273
17031661000,92.82910698
17031671400,92.83861883
17031420500,87.10576664
17031671500,94.48245047
17031670800,93.96010165
17031680600,90.21946367
