OBJECTID,GEOID20,GROSS_ACRES,LAND_ACRES,WATER_ACRES,NAME,TRACT_NUMB,BASENAME,UVDA_AREA,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,C_DISTRICT,SHAPE_Length,SHAPE_Area
316,53033010502,241.145760432976,241.153107181401,0,Census Tract 105.02,10502,105.02,Admiral - West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,14546.1362419116,10504351.3418276
317,53033011200,610.225719619988,613.755157639124,34.5072781208284,Census Tract 112,11200,112,South Park,3.1,3,South Park,South Park,1,27388.538679831,26581538.6726949
318,53033011602,388.523941919971,386.92378416529,194.313293674995,Census Tract 116.02,11602,116.02,Outside - West Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,24703.9086025776,16924170.6066464
319,53033012100,422.29268279069,429.951502949541,341.215219095912,Census Tract 121,12100,121,Outside - West Seattle,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,25850.3219673199,18395142.84286
320,53033000800,282.157044554529,282.177295531528,0,Census Tract 8,800,8,Lake City,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",5,15312.0874645944,12290810.0239841
321,53033000900,230.381600783912,248.304584030683,456.907487713636,Census Tract 9,900,9,Outside - Northeast,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",5,20870.7428387598,10035462.6719569
322,53033001300,291.781132918521,291.801061723855,0,Census Tract 13,1300,13,Aurora-Licton Springs,9.2,9,Licton Springs,Licton Springs,5,14881.0870453396,12710036.9900294
323,53033001900,411.962804021207,411.991883813857,0,Census Tract 19,1900,19,Northgate,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",5,18948.4812689278,17945171.5237861
324,53033002800,244.194427760949,244.21103627887,0,Census Tract 28,2800,28,Greenwood - Phinney Ridge,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,13201.311297987,10637151.8218365
325,53033003000,368.965971536798,368.989863989294,0,Census Tract 30,3000,30,Crown Hill,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",6,16061.947620856,16072222.0089564
326,53033003500,317.44734513713,317.467403501308,0,Census Tract 35,3500,35,Greenwood - Phinney Ridge,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,16634.3489620973,13828061.6663609
327,53033004401,171.706653884714,171.718224685619,0,Census Tract 44.01,4401,44.01,Green Lake - Roosevelt,7.2,7,University District,"University District, Cowen Park, Ravenna",4,12948.9751357778,7479571.76147312
328,53033004703,299.148919266085,293.717116852888,38.4414429015003,Census Tract 47.03,4703,47.03,Ballard,10.4,10,Ballard,"Ballard, West Woodland, Adams",6,18812.5715375291,13030979.047085
329,53033005303,562.24336415147,601.168597921248,185.125421375834,Census Tract 53.03,5303,53.03,University District,7.2,7,University District,"University District, Cowen Park, Ravenna",4,28840.2134386039,24491418.9080166
330,53033005901,193.96357741067,192.343122467389,42.9671779657555,Census Tract 59.01,5901,59.01,Outside - West,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,19075.2935111743,8449087.22832211
331,53033006500,283.567684741127,283.582830942146,0,Census Tract 65,6500,65,Outside - East,6.3,6,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway",3,17921.5013322026,12352257.7563169
332,53033006800,177.438460847167,177.447857169096,0,Census Tract 68,6800,68,Queen Anne,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,11275.3773479613,7729250.27147272
333,53033007001,88.5278839538541,88.5331632299423,0,Census Tract 70.01,7001,70.01,Queen Anne,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,9530.30256857273,3856290.05016998
334,53033007600,141.307731116281,141.315119848013,0,Census Tract 76,7600,76,Central Area,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",3,9906.36833563622,6155389.38895824
335,53033008200,92.8548587401118,92.8584958297087,0,Census Tract 82,8200,82,Center City,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",7,9102.1403414799,4044773.82579607
336,53033008500,111.434846254641,111.439090789389,0,Census Tract 85,8500,85,First Hill - Capitol Hill,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",2,9025.58161466663,4854121.31932229
337,53033009200,79.3405569703609,83.6330635125424,38.2677278182259,Census Tract 92,9200,92,Center City,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",2,12687.1215860371,3456088.48597172
338,53033009900,1612.81207719095,1622.28883820889,585.821376879983,Census Tract 99,9900,99,Outside - Delridge,2.1,2,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",1,64633.4415328187,70254375.0996739
339,53033011001,266.964980657685,266.97043034702,0,Census Tract 110.01,11001,110.01,Othello,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2,16287.3553131872,11629041.073569
340,53033011500,380.13284018238,380.140247229231,0,Census Tract 115,11500,115,Outside - Delridge,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",1,19887.3089363241,16558652.7529049
341,53033011601,383.626623862169,384.134705723016,45.6761942643866,Census Tract 116.01,11601,116.01,Outside - West Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,20011.965621514,16710842.5787311
342,53033012000,355.097941290369,355.102294437221,0,Census Tract 120,12000,120,Outside - West Seattle,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",1,16728.8938803914,15468128.1950586
344,53033000202,365.709220986835,365.736968745731,0,Census Tract 2.02,202,2.02,Lake City,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5,17285.8533323799,15930357.3875521
345,53033000500,695.458641788719,716.173666472704,235.668603236484,Census Tract 5,500,5,Outside - Northwest,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5,27088.1129507105,30294299.6134002
346,53033000601,353.647634595089,353.674025331494,0,Census Tract 6.01,601,6.01,Bitter Lake Village,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5,20078.9564759328,15404952.5827192
347,53033000602,595.670433231368,582.075753505483,13.6379931166424,Census Tract 6.02,602,6.02,Bitter Lake Village,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5,23221.7047501309,25947507.8614797
348,53033001000,235.772052436121,235.788696451949,0,Census Tract 10,1000,10,Outside - Northeast,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",5,13147.0305998084,10270271.6851636
349,53033001500,282.378283463929,288.547672269529,130.196118991541,Census Tract 15,1500,15,Outside - Northwest,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",6,13960.3791579118,12300447.229425
350,53033002100,337.390678534884,337.414491221312,0,Census Tract 21,2100,21,Outside - Northeast,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",4,16139.9218598102,14696796.7441093
351,53033002500,243.218363624363,243.234228705351,0,Census Tract 25,2500,25,Outside - Northeast,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4,16442.9685869959,10594634.2979623
352,53033002700,391.598049693352,391.624222734346,0,Census Tract 27,2700,27,Green Lake - Roosevelt,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6,21942.8352783745,17058079.2768896
353,53033003100,531.160949802337,552.708761532983,116.817586525593,Census Tract 31,3100,31,Outside - Northwest,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",6,24704.5680450171,23137463.5231528
354,53033004101,383.968352046115,395.856149499863,813.117555576632,Census Tract 41.01,4101,41.01,Outside - Northeast,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",4,24415.6063544225,16725728.3179806
355,53033004500,165.796166200404,165.806969746656,0,Census Tract 45,4500,45,Green Lake - Roosevelt,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",6,11018.3020934985,7222109.88810051
356,53033005305,52.6223013622159,52.6252918061274,0,Census Tract 53.05,5305,53.05,University District,7.2,7,University District,"University District, Cowen Park, Ravenna",4,6048.60922234,2292236.61627401
357,53033005402,114.626306060578,114.632186530601,0,Census Tract 54.02,5402,54.02,Fremont - Wallingford,11.1,11,Fremont,"Fremont, Wallingford, Northlake",4,10063.7978469566,4993141.86454603
358,53033005700,1223.72285002147,1256.68901294996,584.603394454009,Census Tract 57,5700,57,Outside - West,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",6,44506.1249707688,53305580.5690344
359,53033005804,576.766542743519,576.853428370458,289.035952503598,Census Tract 58.04,5804,58.04,Interbay,12.2,12,Interbay,Interbay,7,48665.5949524178,25124051.0980128
360,53033006701,83.5871600138208,93.9633039909036,26.0550385427314,Census Tract 67.01,6701,67.01,Center City,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,12683.6159967804,3641071.25447704
361,53033006703,147.546973716753,147.554777839141,0,Census Tract 67.03,6703,67.03,Center City,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,10846.4930444777,6427171.88376363
362,53033007202,69.3311199016411,69.3340635000834,0,Census Tract 72.02,7202,72.02,Center City,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",7,7591.70188344636,3020075.66320805
363,53033007203,143.222681078804,143.229939450137,0,Census Tract 72.03,7203,72.03,Center City,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",7,12493.9648041578,6238804.94298612
364,53033007404,37.9837743171282,37.9862747885679,0,Census Tract 74.04,7404,74.04,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,5775.69998668964,1654579.8275668
365,53033007405,32.5750313540513,32.5759024581356,0,Census Tract 74.05,7405,74.05,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,5012.79869002574,1418974.04167527
366,53033007503,46.3408240075442,46.3423903732171,0,Census Tract 75.03,7503,75.03,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,6484.38948226953,2018614.3682232
367,53033008101,68.6904153426562,66.7985151793451,68.613998418061,Census Tract 81.01,8101,81.01,Center City,13.2,13,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",7,11426.8930521157,2992166.46097863
368,53033010401,402.739918628262,402.750636752267,0,Census Tract 104.01,10401,104.01,Othello,3.5,3,Beacon Hill,Beacon Hill,2,17342.9302013933,17543421.0290612
369,53033011401,304.713407939636,304.719236863857,0,Census Tract 114.01,11401,114.01,Westwood-Highland Park,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",1,17478.0591593666,13273369.1432669
370,53033011700,868.762098261958,868.775077520541,0,Census Tract 117,11700,117,Rainier Beach,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2,29531.8332365677,37843428.3738721
371,53033011901,415.718564219353,415.723669286987,0,Census Tract 119.01,11901,119.01,Outside - Southeast,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,20466.2077876109,18108773.0924182
