OBJECTID,GEOID20,GROSS_ACRES,LAND_ACRES,WATER_ACRES,NAME,TRACT_NUMB,BASENAME,UVDA_AREA,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,C_DISTRICT,SHAPE_Length,SHAPE_Area
13,53033007502,78.0645076481942,78.0682503186016,0,Census Tract 75.02,7502,75.02,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,7403.62929266713,3400503.5551605
14,53033007800,511.444112636284,518.362843226348,897.712600339797,Census Tract 78,7800,78,Outside - East,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",3,29075.7575776278,22278594.6607321
15,53033007901,66.0304866117975,66.0342182340138,0,Census Tract 79.01,7901,79.01,Central Area,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3,7879.40433949822,2876299.5019897
16,53033008102,137.46069982882,137.564801471261,22.5409529108028,Census Tract 81.02,8102,81.02,Center City,13.2,13,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",7,14339.9971145326,5987812.03576507
17,53033008402,35.9389681624052,35.9404893341879,0,Census Tract 84.02,8402,84.02,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,5220.86848686108,1565507.7151831
18,53033008600,175.771028448185,175.778413210914,0,Census Tract 86,8600,86,First Hill - Capitol Hill,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",2,11640.7206126296,7656616.62563152
19,53033009701,442.862569074907,459.951578909736,397.128742215174,Census Tract 97.01,9701,97.01,Outside - West Seattle,1.4,1,Alki/Admiral,"Alki, Admiral",1,29763.7550657419,19291170.6735083
20,53033010602,354.957037359046,371.908672756915,201.918208899539,Census Tract 106.02,10602,106.02,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,23762.7402783702,15461990.3952559
21,53033010701,361.024398934,360.127429477718,0.90539411823264,Census Tract 107.01,10701,107.01,Outside - Delridge,2.2,2,High Point,"High Point, Delridge",1,21302.3651802902,15726285.7226281
22,53033011002,424.904371481427,424.914753956109,0,Census Tract 110.02,11002,110.02,Othello,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2,22511.1267649617,18508908.4572961
23,53033011402,293.108718573034,293.114179721751,0,Census Tract 114.02,11402,114.02,Westwood-Highland Park,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",1,17325.0262739936,12767866.8524625
25,53033001201,249.123467267854,249.141529958209,0,Census Tract 12.01,1201,12.01,Northgate,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",5,15899.7733430541,10851861.6415862
26,53033001800,233.765875573085,233.782694964009,0,Census Tract 18,1800,18,Aurora-Licton Springs,9.2,9,Licton Springs,Licton Springs,5,13946.100028213,10182882.2714508
27,53033002900,243.681098411602,243.697551295877,0,Census Tract 29,2900,29,Greenwood - Phinney Ridge,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,13366.3196709081,10614791.1059279
28,53033003202,236.220782776271,236.236698508814,0,Census Tract 32.02,3202,32.02,Ballard,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",6,12945.3948643709,10289818.4569653
29,53033004000,604.345598188771,636.19405602732,798.705875510157,Census Tract 40,4000,40,Outside - Northeast,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",4,27013.7115563461,26325399.5585963
30,53033004302,81.8205099540995,81.8257347514197,0,Census Tract 43.02,4302,43.02,University District,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4,7987.27441919544,3564115.67005324
31,53033004702,65.8286562064753,65.8323331372354,0,Census Tract 47.02,4702,47.02,Ballard,10.4,10,Ballard,"Ballard, West Woodland, Adams",6,6956.44967487604,2867507.73438163
32,53033005803,205.6046280922,205.615646724625,0,Census Tract 58.03,5803,58.03,Interbay,12.2,12,Interbay,Interbay,7,17129.1988103483,8956173.42434502
33,53033007403,29.2948568554617,29.2965669387401,0,Census Tract 74.03,7403,74.03,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,5227.49528678734,1276089.06897687
34,53033007700,261.505111450894,261.517061680187,0,Census Tract 77,7700,77,Central Area,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3,15242.2097594939,11391208.2195848
35,53033008004,66.7659374873164,70.3326163471844,130.16696055651,Census Tract 80.04,8004,80.04,Center City,13.1,13,Belltown,"Belltown, Denny Regrade",7,14937.6990872881,2908335.87028067
36,53033008401,62.0008219978913,62.0039294598942,0,Census Tract 84.01,8401,84.01,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,9275.81826751285,2700766.6092787
37,53033009400,416.679363486655,416.6965231744,0,Census Tract 94,9400,94,Southeast - North,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,18874.5831831158,18150625.6759028
38,53033009600,453.200741815795,471.210688517583,342.295810929709,Census Tract 96,9600,96,Admiral - West Seattle Junction,1.4,1,Alki/Admiral,"Alki, Admiral",1,20745.3330701524,19741503.2794259
39,53033009802,227.903370364897,227.909988464577,0,Census Tract 98.02,9802,98.02,Admiral - West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,12982.7549339758,9927510.52308763
40,53033010002,234.265491866273,234.274928884183,0,Census Tract 100.02,10002,100.02,Southeast - North,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,13732.7653894052,10204645.6442321
41,53033010102,397.387105517678,401.107633069917,536.23473995156,Census Tract 101.02,10102,101.02,Southeast - North,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2,22299.596514494,17310251.5572897
42,53033010800,998.755477780369,1023.14601020611,79.7243505861767,Census Tract 108,10800,108,Outside - Delridge,2.3,2,Riverview,"Riverview, Delridge",1,35341.0746008805,43505962.6357787
