OBJECTID,geoid,ZONE_CODE,COUNT,AREA,MEAN_HEAT_INDEX
150,17031842800,150,15167,1516700,89.09412218
151,17031630200,151,6358,635800,88.97428572
152,17031611100,152,3263,326300,89.1889377
153,17031630500,153,6562,656200,89.39879878
154,17031420600,154,2443,244300,88.00581225
155,17031390600,155,3210,321000,86.43330384
156,17031836100,156,8619,861900,87.18627478
157,17031400500,157,3264,326400,88.18148835
158,17031400800,158,4929,492900,88.63143608
159,17031351500,159,1674,167400,88.24063138
160,17031400300,160,14630,1463000,86.62455913
161,17031836200,161,8122,812200,86.61702855
162,17031834500,162,4641,464100,88.89646596
163,17031842500,163,10727,1072700,89.12844227
164,17031420300,164,2421,242100,87.96344617
165,17031420200,165,2800,280000,87.20558835
166,17031420400,166,2457,245700,87.42401503
167,17031411100,167,2812,281200,86.65258005
168,17031411200,168,4034,403400,86.3447057
169,17031420100,169,7711,771100,88.30843775
170,17031420700,170,6499,649900,88.79374531
171,17031690500,171,3230,323000,89.9950888
172,17031420800,172,3465,346500,88.33936782
173,17031690300,173,5333,533300,89.54481557
174,17031841800,174,16417,1641700,88.8076597
175,17031690400,175,6507,650700,89.3720234
176,17031380500,176,1895,189500,88.3519042
177,17031843900,177,14879,1487900,87.68991485
178,17031612000,178,3256,325600,88.85869357
179,17031010202,179,3526,352600,84.46218314
180,17031830600,180,6612,661200,85.23099294
181,17031010502,181,1811,181100,83.0950741
182,17031010100,182,3737,373700,82.71078961
183,17031010201,183,5037,503700,83.96955233
184,17031010300,184,4713,471300,83.04868939
185,17031010400,185,5433,543300,81.89723865
186,17031010503,186,1934,193400,84.03184052
187,17031010600,187,4943,494300,84.01923911
188,17031010701,188,4291,429100,84.06047491
189,17031010702,189,3566,356600,84.6078793
190,17031660500,190,6582,658200,90.09531275
191,17031020400,191,5542,554200,85.2719975
192,17031020500,192,7713,771300,84.47351808
193,17031030200,193,6646,664600,84.29603933
194,17031351100,194,3479,347900,87.63742737
195,17031020200,195,12407,1240700,86.85320871
196,17031560800,196,13220,1322000,89.90294145
197,17031630300,197,9849,984900,89.29656366
198,17031560900,198,13115,1311500,89.46934599
199,17031561100,199,13205,1320500,90.13958106
200,17031630900,200,6595,659500,90.29418679
201,17031570500,201,4228,422800,90.15809338
202,17031620200,202,5730,573000,90.07488776
203,17031620300,203,9924,992400,89.73020998
204,17031640300,204,13237,1323700,90.34487674
205,17031640400,205,13345,1334500,88.88465788
206,17031620400,206,6559,655900,90.43006535
207,17031650200,207,9909,990900,90.50068599
208,17031835200,208,9891,989100,89.6071949
209,17031561000,209,13275,1327500,89.59260953
210,17031980100,210,29786,2978600,88.51349692
211,17031570300,211,9789,978900,89.66081156
212,17031620100,212,8363,836300,89.11904339
213,17031650100,213,6725,672500,90.43978077
214,17031640700,214,6524,652400,89.61156929
215,17031650301,215,9877,987700,90.57989814
216,17031390500,216,3290,329000,86.70992303
217,17031640500,217,6552,655200,89.53761704
218,17031640600,218,6526,652600,89.50883429
219,17031650302,219,6624,662400,90.43528026
220,17031081401,220,2801,280100,84.54159157
221,17031170800,221,7274,727400,89.09639873
222,17031171000,222,13921,1392100,89.5712275
223,17031839200,223,6502,650200,88.26704896
224,17031831500,224,9584,958400,88.45452777
225,17031250500,225,20590,2059000,89.20109416
226,17031839500,226,2615,261500,87.68650167
227,17031831600,227,14872,1487200,88.85425334
228,17031250300,228,6178,617800,88.89946145
229,17031191302,229,6333,633300,89.63050297
230,17031191200,230,7039,703900,88.87193448
231,17031191301,231,6757,675700,89.30739549
232,17031250400,232,13061,1306100,88.92491439
233,17031250700,233,6594,659400,89.18795091
234,17031251900,234,6321,632100,88.75382706
235,17031250600,235,6461,646100,89.64884096
236,17031251200,236,6610,661000,89.46585711
237,17031251300,237,6534,653400,89.49751109
238,17031251400,238,6881,688100,88.86849884
239,17031251500,239,6856,685600,89.50356242
240,17031252101,240,8547,854700,87.34865699
241,17031252102,241,6691,669100,88.99634108
242,17031252202,242,6372,637200,89.82054073
243,17031831400,243,21018,2101800,88.71942974
244,17031140601,244,2728,272800,88.28970675
245,17031560100,245,7256,725600,89.04840703
246,17031560300,246,6538,653800,89.52109426
247,17031560400,247,3406,340600,89.15405238
248,17031351400,248,3214,321400,88.08687074
